date,value
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
34:00.0,1
34:00.0,1
34:00.0,1
35:00.0,1
35:00.0,1
35:00.0,1
36:00.0,1
36:00.0,2
37:00.0,1
37:00.0,1
38:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,2
40:00.0,1
40:00.0,3
40:00.0,1
41:00.0,4
41:00.0,1
41:00.0,1
42:00.0,1
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,1
45:00.0,1
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,1
47:00.0,1
47:00.0,1
47:00.0,1
48:00.0,1
48:00.0,1
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,1
50:00.0,1
50:00.0,1
51:00.0,1
51:00.0,1
51:00.0,4
52:00.0,1
52:00.0,1
52:00.0,1
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,3
56:00.0,1
56:00.0,2
57:00.0,1
57:00.0,2
57:00.0,1
58:00.0,1
58:00.0,4
58:00.0,4
59:00.0,5
59:00.0,4
59:00.0,1
00:00.0,4
00:00.0,1
00:00.0,4
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
03:00.0,1
04:00.0,2
04:00.0,2
04:00.0,1
05:00.0,4
05:00.0,1
05:00.0,4
06:00.0,1
06:00.0,1
06:00.0,1
07:00.0,1
07:00.0,1
07:00.0,1
08:00.0,3
08:00.0,1
08:00.0,3
09:00.0,1
09:00.0,1
09:00.0,1
10:00.0,1
10:00.0,1
10:00.0,1
11:00.0,5
11:00.0,1
11:00.0,5
12:00.0,2
12:00.0,4
13:00.0,1
13:00.0,1
13:00.0,1
14:00.0,1
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,1
15:00.0,1
16:00.0,1
16:00.0,3
17:00.0,1
17:00.0,1
18:00.0,1
18:00.0,1
19:00.0,1
19:00.0,2
19:00.0,2
20:00.0,1
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,1
22:00.0,1
23:00.0,1
23:00.0,1
23:00.0,1
24:00.0,1
24:00.0,1
24:00.0,1
25:00.0,1
25:00.0,1
25:00.0,1
26:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
27:00.0,1
28:00.0,1
28:00.0,1
28:00.0,1
29:00.0,1
29:00.0,1
29:00.0,1
30:00.0,1
30:00.0,1
30:00.0,1
31:00.0,1
31:00.0,1
31:00.0,1
32:00.0,1
32:00.0,1
32:00.0,1
33:00.0,1
33:00.0,1
33:00.0,1
